id,idiom,idiom_extracted,definition_jp,example,example_jp,fill_in_the_blanks,tips,created_at
848,put on A,put on,A（衣服など）を身につける,"It's so cold, so I put on my coat.",とても寒いので、コートを着た。,"It's so cold, so I _____ my coat.",Aが代名詞の時は、間に挟む！（put it onなど）,2025-12-24 02:26:37.705585+00
849,try on A,try on,A（衣服など）を試着する,Can I try it on?,試着してもいいですか。,Can I _____?,「on＝身につける｝⇒服を体の上にのせて試す,2025-12-24 02:26:37.705585+00
850,take off A,take off,A（衣服など）を脱ぐ,I took off my scarf in the warm classroom.,暖かい教室でマフラーを外した。,I _____ my scarf in the warm classroom.,remove Aと同義。目的語が続かないtake offは「離陸する」,2025-12-24 02:26:37.705585+00
851,turn down A,turn down,A（申し出・要求・招待）を断る,She turned down the offer because it sounded too good to be true.,彼女はその申し出が良すぎる話に聞こえたので断った。,She _____ the offer because it sounded too good to be true.,reject Aと同義。「音量を下げる」という意味もある。,2025-12-24 02:26:37.705585+00
852,turn up A,turn up,A（の音量）を上げる,Could you turn up the volume?,音量を上げてもらえますか。,Could you _____ the volume?,「up＝上へ」⇒ダイヤルを上へ回す,2025-12-24 02:26:37.705585+00
853,turn off A,turn off,A（水道・ガスなど）を止める/A（テレビ・照明など）を消す,Please turn off the lights when you leave the room.,部屋を出るときに電気を消してください。,Please _____ the lights when you leave the room.,日本語の「オフ」と同じイメージを持つ！,2025-12-24 02:26:37.705585+00
854,put off A,put off,A（予定など）を延期する,We decided to put off the meeting until next week.,会議を来週まで延期することにした。,We decided to _____ the meeting until next week.,使い方によっては「失わせる」「不快にする」などネガティブな意味にもなる。I was put off by his arrogance.（彼の傲慢さに不快感を覚えた）　＝postpone A,2025-12-24 02:26:37.705585+00
855,call off A,call off,A（予定など）を中止する,The game was called off due to the storm.,嵐のため試合は中止された。,The game was _____ due to the storm.,代名詞の扱いに注意 (=cancel A),2025-12-24 02:26:37.705585+00
856,pick up A,pick up,A（言葉・技術など）を習得する,She picked up Japanese very quickly.,彼女は日本語をとても早く習得した。,She _____ Japanese very quickly.,異なる意味もあるので注意 (= learn A),2025-12-24 02:26:37.705585+00
857,pick up A,pick up,A（人）を車で迎えに行く（来る）,I will pick you up at the airport tomorrow.,明日、空港であなたを迎えに行きます。,I will _____ at the airport tomorrow.," 異なる意味もあるので注意",2025-12-24 02:26:37.705585+00
858,pick out A,pick out,Aを選び出す,She picked out the red one.,彼女は赤いものを選んだ。,She _____ the red one.,日本語では「選び出す」という意味で「ピックアップする」という表現を用いることがあるが、英語のpick up にはその意味はない。(= choose A/ select A),2025-12-24 02:26:37.705585+00
859,put away A,put away,Aを片付ける/元の場所へしまう,Please put away your toys.,おもちゃを片付けてください。,Please _____ your toys.,異なる意味もあるので注意,2025-12-24 02:26:37.705585+00
860,put away A,put away,A（お金・時間・食物など）をとっておく、蓄える,She puts away a portion of her salary for retirement.,彼女は退職のために給料の一部を貯金している。,She _____ a portion of her salary for retirement.,異なる意味もあるので注意 (= save A),2025-12-24 02:26:37.705585+00
861,put aside,put aside,A（お金・時間・食物など）をとっておく、蓄える,He put aside some money for a trip.,彼は旅行のためにお金を取っておいた。,He _____ some money for a trip.,目的語で意味が変わる (= save A),2025-12-24 02:26:37.705585+00
862,set up A,set up,A（会社・制度・施設など）を設立する,Your computer is set up and ready to be used.,あなたのコンピューターはセットアップされていて、すぐに使える。,Your computer is _____ and ready to be used.,文脈によって意味が異なる　(= establish A),2025-12-24 02:26:37.705585+00
863,make up A,make up,A（話・弁解・うそなど）をでっちあげる,She made up an excuse saying her dog had eaten her homework.,彼女は犬が宿題を食べたと言い訳を作った。,She _____ an excuse saying her dog had eaten her homework.,「A（全体のある割合）を構成する」という意味もある。(= invent A),2025-12-24 02:26:37.705585+00
864,make out A,make out,Aを理解する,I can't make out what you're saying.,あなたが言っていることが聞き取れない。,I can't _____ what you're saying.,識別するという意味のわかる 例「人混みの中で手を振ってるのがわかる」(= understand A/ comprehend A),2025-12-24 02:26:37.705585+00
865,figure out A,figure out,Aを理解する,I can't figure out why the teacher says it's easy.,なぜ先生がそれを簡単だと言うのか分からない。,I can't _____ why the teacher says it's easy.,頭を使って理解するの意 (= understand A/ comprehend A/ make out A),2025-12-24 02:26:37.705585+00
866,work out A,work out,A（問題など）を苦労して解く,He's going to work out this math problem all by himself.,彼は自分でこの数学の問題を解こうとしている。,He's going to _____ this math problem all by himself.,「A（計画・理論など）を考え出す」という意味もある。 (= solve A),2025-12-24 02:26:37.705585+00
867,take on A,take on,A（仕事など）を引き受ける,She was asked to take on the additional work at the office.,彼女は会社で追加の仕事を引き受けるように頼まれた。,She was asked to _____ the additional work at the office.,仕事や責任を自分の肩に乗せるイメージ　(= undertake A/ agree to do A),2025-12-24 02:26:37.705585+00
868,take on A,take on,A（人）を雇う,We will have to take on someone to do her work while he goes abroad.,彼が海外に行く間、彼女の仕事をする人を雇わなければならない。,We will have to _____ someone to do her work while he goes abroad.,「A（性質・様相など）を帯びる/呈する/持つようになる」という意味もある (= hire A/ employ A),2025-12-24 02:26:37.705585+00
869,put out A,put out,A（火・照明など）を消す,It took a whole day to put out the fire.,火を消すのに丸一日かかった。,It took a whole day to _____ the fire.,火を外に追い出す⇒消える   (=extinguish A),2025-12-24 02:26:37.705585+00
870,keep up A,keep up,Aを維持する,It is hard to keep up with cleaning my room.,部屋の掃除を続けるのは大変だ。,It is hard to _____ with cleaning my room.,keep up with A「Aに（遅れずに）ついて行く」と混同しないように  (= maintain A/ continue A),2025-12-24 02:26:37.705585+00
871,call up A,call up,A（人）に電話する,He called up his mother.,彼は母親に電話した。,He _____ his mother.,call up は「電話をする」という意味で目的語をとらない。(=(tele)phone A/ ring A),2025-12-24 02:26:37.705585+00
